Price,Mileage,Type,Cylinder,Liter,Doors,Leather
37510.25357,21593,Sedan,8,4.6,4,1
37215.16938,22211,Sedan,8,4.6,4,1
36332.89469,25153,Sedan,8,4.6,4,1
36245.15823,26250,Sedan,8,4.6,4,1
32954.14134,36074,Sedan,8,4.6,4,1
32537.18675,41829,Sedan,8,4.6,4,1
35715.76856,6447,Sedan,8,4.6,4,1
35651.68002,10555,Sedan,8,4.6,4,1
35129.34077,11975,Sedan,8,4.6,4,1
35165.75937,13449,Sedan,8,4.6,4,1
32501.24519,17508,Sedan,8,4.6,4,1
33220.02845,18661,Sedan,8,4.6,4,1
32509.47829,20910,Sedan,8,4.6,4,1
31132.21349,23124,Sedan,8,4.6,4,1
31181.71516,26222,Sedan,8,4.6,4,1
31059.18103,27544,Sedan,8,4.6,4,1
42741.52367,2846,Sedan,6,3.6,4,1
40966.60741,7476,Sedan,6,3.6,4,1
38795.37909,13973,Sedan,6,3.6,4,1
38297.46254,16754,Sedan,6,3.6,4,1
37192.89637,19100,Sedan,6,3.6,4,1
36210.123,21778,Sedan,6,3.6,4,1
36633.63382,22042,Sedan,6,3.6,4,1
35895.49941,23056,Sedan,6,3.6,4,1
34974.37804,25796,Sedan,6,3.6,4,1
32038.33956,35326,Sedan,6,3.6,4,1
48310.32954,788,Sedan,8,4.6,4,1
48365.9809,2616,Sedan,8,4.6,4,1
45061.95194,13829,Sedan,8,4.6,4,1
44205.87588,15104,Sedan,8,4.6,4,1
42377.95544,18581,Sedan,8,4.6,4,1
41671.58314,20575,Sedan,8,4.6,4,1
41516.42986,23861,Sedan,8,4.6,4,1
41053.48217,25717,Sedan,8,4.6,4,1
38208.50102,31303,Sedan,8,4.6,4,1
39072.39205,31587,Sedan,8,4.6,4,1
70755.46672,583,Convertible,8,4.6,2,1
68566.18719,6420,Convertible,8,4.6,2,1
69133.73172,7892,Convertible,8,4.6,2,1
66374.30704,12021,Convertible,8,4.6,2,1
65281.48124,15600,Convertible,8,4.6,2,1
63913.11725,18200,Convertible,8,4.6,2,1
60567.54909,23193,Convertible,8,4.6,2,1
57154.44344,29260,Convertible,8,4.6,2,1
55639.08765,31805,Convertible,8,4.6,2,1
52001.99438,42691,Convertible,8,4.6,2,1
46732.60603,3625,Convertible,8,6,2,1
47065.20991,5239,Convertible,8,6,2,1
44749.68679,12115,Convertible,8,6,2,1
42773.02839,14546,Convertible,8,6,2,1
41371.37927,20000,Convertible,8,6,2,1
39547.5879,23826,Convertible,8,6,2,1
39691.7274,25169,Convertible,8,6,2,1
38824.86909,25960,Convertible,8,6,2,1
36970.89805,30502,Convertible,8,6,2,1
37288.93674,32039,Convertible,8,6,2,1
35622.1395,10340,Convertible,4,2,2,0
34819.29712,12251,Convertible,4,2,2,0
34355.00373,17711,Convertible,4,2,2,0
32737.08455,19112,Convertible,4,2,2,1
33540.53611,20925,Convertible,4,2,2,1
31970.54208,21208,Convertible,4,2,2,0
33287.4096,21661,Convertible,4,2,2,1
32075.98487,23553,Convertible,4,2,2,0
31969.06981,24559,Convertible,4,2,2,0
27666.23108,35157,Convertible,4,2,2,0
29246.23734,3907,Sedan,4,2,4,1
26337.8306,16068,Sedan,4,2,4,0
26775.03209,16688,Sedan,4,2,4,0
25299.96964,19569,Sedan,4,2,4,0
24896.5976,21266,Sedan,4,2,4,0
25996.8064,21433,Sedan,4,2,4,1
24801.61719,26345,Sedan,4,2,4,1
24063.01268,27674,Sedan,4,2,4,1
23249.84169,27686,Sedan,4,2,4,0
22244.87655,50387,Sedan,4,2,4,1
37088.56241,3828,Convertible,4,2,2,1
33381.81915,17381,Convertible,4,2,2,1
33358.76777,17590,Convertible,4,2,2,1
33586.90609,18930,Convertible,4,2,2,1
30731.94165,22479,Convertible,4,2,2,0
30315.16944,23635,Convertible,4,2,2,0
30166.85251,25049,Convertible,4,2,2,0
30251.01842,27558,Convertible,4,2,2,1
29142.71439,31655,Convertible,4,2,2,1
29612.15405,32477,Convertible,4,2,2,1
26841.08084,10003,Sedan,4,2,4,0
27825.94997,10014,Sedan,4,2,4,1
27284.75133,14281,Sedan,4,2,4,1
27060.13756,17319,Sedan,4,2,4,1
25618.28188,20208,Sedan,4,2,4,1
25790.51414,21160,Sedan,4,2,4,1
25148.37919,22272,Sedan,4,2,4,1
24852.49528,22814,Sedan,4,2,4,1
24173.52588,27015,Sedan,4,2,4,0
23733.40225,27600,Sedan,4,2,4,0
38324.80908,12090,Convertible,4,2,2,1
38167.17358,13162,Convertible,4,2,2,1
37383.50349,16088,Convertible,4,2,2,1
36338.75133,18195,Convertible,4,2,2,0
35580.33231,21167,Convertible,4,2,2,0
35304.4947,21293,Convertible,4,2,2,1
34392.99527,24031,Convertible,4,2,2,1
33984.43077,25420,Convertible,4,2,2,0
33248.34252,27051,Convertible,4,2,2,1
28777.95969,48991,Convertible,4,2,2,1
32197.34047,3867,Sedan,4,2,4,0
32053.09716,5144,Sedan,4,2,4,0
30274.71058,10800,Sedan,4,2,4,0
30353.58555,11273,Sedan,4,2,4,0
30122.42974,14568,Sedan,4,2,4,1
26789.83261,22189,Sedan,4,2,4,0
28291.76226,22328,Sedan,4,2,4,0
27109.40589,22598,Sedan,4,2,4,1
27256.49451,26400,Sedan,4,2,4,0
25267.36768,34175,Sedan,4,2,4,0
35033.21545,1676,Sedan,4,2.3,4,1
32746.13139,7924,Sedan,4,2.3,4,1
33183.3326,9795,Sedan,4,2.3,4,1
31002.73442,15087,Sedan,4,2.3,4,1
30075.99473,22052,Sedan,4,2.3,4,1
29844.204,23143,Sedan,4,2.3,4,1
28432.82421,25247,Sedan,4,2.3,4,1
28054.98236,26276,Sedan,4,2.3,4,1
28502.96241,28598,Sedan,4,2.3,4,1
24912.08058,38717,Sedan,4,2.3,4,1
